event_id,Alarm Text,Set,time,cluster_id_true,cause_event_id_true
1,ALARM52031-Catalyst screw feeder under-delivery at Hopper 3.,1/1/26 8:03:07,187.528,2,-1
2,ALARM50010-Feed pump flow oscillation above limit on Train 1.,1/1/26 8:03:29,209.352,0,-1
3,ALARM50120-Pre-reactor feed heater outlet temperature low on Train 2.,1/1/26 8:04:07,247.486,8,2
4,ALARM54050-Heat exchanger approach temperature out of range (target=-0.867).,1/1/26 8:04:23,263.422,4,1
5,ALARM51021-Reactor temperature control valve hunting on Loop A2.,1/1/26 8:04:42,282.15,1,3
6,ALARM51240-Column feed preheat outlet high on Train 4.,1/1/26 8:09:07,547.412,15,5
7,ALARM53041-Column tray flooding tendency detected.,1/1/26 8:09:16,556.259,3,6
8,ALARM53121-Condenser cooling water valve saturated on Column 2.,1/1/26 8:10:28,628.976,10,7
9,ALARM54050-Heat exchanger approach temperature out of range (target=1.136).,1/1/26 8:10:31,631.653,4,8
10,ALARM54120-Product run-down line temperature high before Tank 2.,1/1/26 8:11:17,677.278,11,9
11,ALARM50120-Pre-reactor feed heater outlet temperature low on Train 3.,1/1/26 8:13:32,812.321,8,-1
12,ALARM51021-Reactor temperature control valve hunting on Loop B2.,1/1/26 8:14:02,842.6,1,11
13,ALARM51130-Reactor agitator torque high on Vessel 4.,1/1/26 8:14:09,849.379,9,12
14,ALARM51240-Column feed preheat outlet high on Train 4.,1/1/26 8:14:10,850.375,15,12
15,ALARM52030-Catalyst dosing deviation at Unit 3.,1/1/26 8:14:36,876.747,2,13
16,ALARM54050-Heat exchanger approach temperature out of range (target=1.498).,1/1/26 8:14:49,889.89,4,15
17,ALARM52240-Sample probe conditioning temperature high on Stream B2.,1/1/26 8:15:10,910.029,12,15
18,ALARM56071-Analyzer validation failed due to drift compensation limit.,1/1/26 8:15:17,917.341,6,17
19,ALARM53041-Column tray flooding tendency detected.,1/1/26 8:15:50,950.931,3,14
20,ALARM53120-Column overhead pressure high (limit=0.251).,1/1/26 8:17:58,1078.637,10,19
21,ALARM54050-Heat exchanger approach temperature out of range (target=-0.551).,1/1/26 8:18:45,1125.258,4,20
22,ALARM52030-Catalyst dosing deviation at Unit 3.,1/1/26 8:19:17,1157.79,2,-1
23,ALARM54121-Transfer pump minimum flow bypass opening at Tank 1.,1/1/26 8:19:17,1157.79,11,21
24,ALARM54051-Heat exchanger fouling factor rising beyond control band.,1/1/26 8:19:20,1160.243,4,22
25,ALARM52240-Sample probe conditioning temperature high on Stream A1.,1/1/26 8:19:22,1162.583,12,22
26,ALARM51020-Reactor jacket temperature drift at Vessel 6.,1/1/26 8:21:01,1261.191,1,-1
27,ALARM56070-Online analyzer quality outlier on Stream B2.,1/1/26 8:21:01,1261.191,6,25
28,ALARM55061-Tank vent pressure transmitter mismatch at Tank 1.,1/1/26 8:21:01,1261.191,5,23
29,ALARM51240-Column feed preheat outlet high on Train 2.,1/1/26 8:21:21,1281.392,15,26
30,ALARM56221-SIS input discrepancy on analyzer trip chain A2.,1/1/26 8:21:36,1296.711,14,27
31,ALARM50010-Feed pump flow oscillation above limit on Train 1.,1/1/26 8:22:01,1321.82,0,-1
32,ALARM57081-SIS interlock recovery sequence initiated.,1/1/26 8:22:07,1327.544,7,30
33,ALARM50121-Feed surge drum level oscillation before Vessel 11.,1/1/26 8:22:09,1329.615,8,31
34,ALARM53040-Distillation column DP high (target=0.207).,1/1/26 8:22:32,1352.978,3,29
35,ALARM51021-Reactor temperature control valve hunting on Loop B2.,1/1/26 8:22:42,1362.404,1,33
36,ALARM51240-Column feed preheat outlet high on Train 2.,1/1/26 8:22:48,1368.604,15,35
37,ALARM51130-Reactor agitator torque high on Vessel 7.,1/1/26 8:23:30,1410.2,9,35
38,ALARM53120-Column overhead pressure high (limit=0.172).,1/1/26 8:24:09,1449.617,10,34
39,ALARM54051-Heat exchanger fouling factor rising beyond control band.,1/1/26 8:24:52,1492.704,4,38
40,ALARM54121-Transfer pump minimum flow bypass opening at Tank 3.,1/1/26 8:25:49,1549.445,11,39
41,ALARM55060-Tank vent valve failed to open at Tank 2.,1/1/26 8:26:50,1610.364,5,40
42,ALARM55231-Inerting valve failed to regulate at Tank 1.,1/1/26 8:27:10,1630.82,13,41
43,ALARM50011-Feed pump discharge pressure ripple detected on Train 4.,1/1/26 8:27:23,1643.748,0,-1
44,ALARM50121-Feed surge drum level oscillation before Vessel 8.,1/1/26 8:27:24,1644.303,8,43
45,ALARM51021-Reactor temperature control valve hunting on Loop B1.,1/1/26 8:27:28,1648.417,1,44
46,ALARM57081-SIS interlock recovery sequence initiated.,1/1/26 8:27:35,1655.961,7,42
47,ALARM51240-Column feed preheat outlet high on Train 1.,1/1/26 8:29:20,1760.069,15,45
48,ALARM53040-Distillation column DP high (target=0.318).,1/1/26 8:36:45,2205.918,3,47
49,ALARM52030-Catalyst dosing deviation at Unit 4.,1/1/26 8:37:29,2249.874,2,-1
50,ALARM52240-Sample probe conditioning temperature high on Stream A1.,1/1/26 8:37:39,2259.515,12,49
51,ALARM54050-Heat exchanger approach temperature out of range (target=-0.972).,1/1/26 8:37:42,2262.532,4,49
52,ALARM54121-Transfer pump minimum flow bypass opening at Tank 4.,1/1/26 8:37:47,2267.963,11,51
53,ALARM55061-Tank vent pressure transmitter mismatch at Tank 3.,1/1/26 8:38:46,2326.78,5,52
54,ALARM55230-Tank blanket gas pressure low at Tank 4.,1/1/26 8:40:27,2427.279,13,53
55,ALARM57080-Plant switched to safety recovery after chained process faults.,1/1/26 8:42:25,2545.394,7,54
56,ALARM55061-Tank vent pressure transmitter mismatch at Tank 2.,1/1/26 8:49:19,2959.565,5,-1
57,ALARM55230-Tank blanket gas pressure low at Tank 3.,1/1/26 8:51:19,3079.713,13,56
58,ALARM57081-SIS interlock recovery sequence initiated.,1/1/26 8:52:41,3161.456,7,57
59,ALARM50010-Feed pump flow oscillation above limit on Train 4.,1/1/26 8:53:27,3207.673,0,-1
60,ALARM50011-Feed pump discharge pressure ripple detected on Train 4.,1/1/26 8:54:42,3282.288,0,-1
61,ALARM50121-Feed surge drum level oscillation before Vessel 4.,1/1/26 8:55:21,3321.873,8,60
62,ALARM51021-Reactor temperature control valve hunting on Loop A1.,1/1/26 8:56:11,3371.731,1,61
63,ALARM51240-Column feed preheat outlet high on Train 4.,1/1/26 8:56:15,3375.955,15,62
64,ALARM51131-Reactor baffle washout suspected on Loop A1.,1/1/26 8:56:26,3386.372,9,62
65,ALARM53041-Column tray flooding tendency detected.,1/1/26 8:57:59,3479.147,3,63
66,ALARM53120-Column overhead pressure high (limit=-1.226).,1/1/26 8:58:56,3536.197,10,65
67,ALARM52030-Catalyst dosing deviation at Unit 3.,1/1/26 9:00:08,3608.092,2,64
68,ALARM54051-Heat exchanger fouling factor rising beyond control band.,1/1/26 9:00:17,3617.158,4,66
69,ALARM52241-Fast loop sample lag detected before Analyzer 2.,1/1/26 9:00:28,3628.183,12,67
70,ALARM54120-Product run-down line temperature high before Tank 4.,1/1/26 9:01:12,3672.208,11,68
71,ALARM55060-Tank vent valve failed to open at Tank 1.,1/1/26 9:01:27,3687.887,5,70
72,ALARM50010-Feed pump flow oscillation above limit on Train 4.,1/1/26 9:01:38,3698.372,0,-1
73,ALARM50120-Pre-reactor feed heater outlet temperature low on Train 2.,1/1/26 9:01:41,3701.461,8,72
74,ALARM51021-Reactor temperature control valve hunting on Loop B2.,1/1/26 9:01:42,3702.805,1,73
75,ALARM52030-Catalyst dosing deviation at Unit 1.,1/1/26 9:03:56,3836.7,2,-1
76,ALARM53040-Distillation column DP high (target=1.123).,1/1/26 9:04:26,3866.818,3,-1
77,ALARM53120-Column overhead pressure high (limit=0.845).,1/1/26 9:04:39,3879.83,10,76
78,ALARM54050-Heat exchanger approach temperature out of range (target=0.656).,1/1/26 9:05:52,3952.712,4,77
79,ALARM52030-Catalyst dosing deviation at Unit 4.,1/1/26 9:07:33,4053.484,2,-1
80,ALARM54051-Heat exchanger fouling factor rising beyond control band.,1/1/26 9:07:39,4059.868,4,79
81,ALARM52241-Fast loop sample lag detected before Analyzer 2.,1/1/26 9:07:47,4067.653,12,79
82,ALARM54121-Transfer pump minimum flow bypass opening at Tank 3.,1/1/26 9:07:52,4072.639,11,80
83,ALARM55061-Tank vent pressure transmitter mismatch at Tank 3.,1/1/26 9:07:56,4076.751,5,82
84,ALARM56221-SIS input discrepancy on analyzer trip chain B2.,1/1/26 9:08:36,4116.029,14,-1
85,ALARM51020-Reactor jacket temperature drift at Vessel 4.,1/1/26 9:12:36,4356.457,1,-1
86,ALARM57081-SIS interlock recovery sequence initiated.,1/1/26 9:12:36,4356.457,7,84
87,ALARM51240-Column feed preheat outlet high on Train 3.,1/1/26 9:14:11,4451.369,15,85
88,ALARM53040-Distillation column DP high (target=0.673).,1/1/26 9:17:37,4657.86,3,87
89,ALARM53121-Condenser cooling water valve saturated on Column 3.,1/1/26 9:18:28,4708.368,10,88
90,ALARM54051-Heat exchanger fouling factor rising beyond control band.,1/1/26 9:19:08,4748.939,4,89
91,ALARM54121-Transfer pump minimum flow bypass opening at Tank 4.,1/1/26 9:19:26,4766.026,11,-1
92,ALARM54121-Transfer pump minimum flow bypass opening at Tank 3.,1/1/26 9:19:26,4766.026,11,90
93,ALARM55061-Tank vent pressure transmitter mismatch at Tank 3.,1/1/26 9:19:33,4773.643,5,91
94,ALARM55060-Tank vent valve failed to open at Tank 2.,1/1/26 9:19:36,4776.227,5,92
95,ALARM55230-Tank blanket gas pressure low at Tank 2.,1/1/26 9:19:56,4796.305,13,93
96,ALARM57080-Plant switched to safety recovery after chained process faults.,1/1/26 9:20:28,4828.723,7,95
97,ALARM55230-Tank blanket gas pressure low at Tank 3.,1/1/26 9:20:46,4846.898,13,94
